,Importance
EXT_SOURCE_2,0.05657
EXT_SOURCE_3,0.04411
DAYS_BIRTH,0.03825
DAYS_ID_PUBLISH,0.03716
DAYS_REGISTRATION,0.03689
SK_ID_CURR,0.03613
AMT_ANNUITY,0.03411
DAYS_EMPLOYED,0.03318
DAYS_LAST_PHONE_CHANGE,0.03242
AMT_CREDIT,0.03168
AMT_INCOME_TOTAL,0.02788
REGION_POPULATION_RELATIVE,0.02733
AMT_GOODS_PRICE,0.02665
HOUR_APPR_PROCESS_START,0.02448
EXT_SOURCE_1,0.02253
ORGANIZATION_TYPE,0.02079
AMT_REQ_CREDIT_BUREAU_YEAR,0.01694
WEEKDAY_APPR_PROCESS_START,0.01688
OCCUPATION_TYPE,0.01635
OBS_30_CNT_SOCIAL_CIRCLE,0.01362
OBS_60_CNT_SOCIAL_CIRCLE,0.01348
OWN_CAR_AGE,0.01321
CNT_FAM_MEMBERS,0.01093
NAME_FAMILY_STATUS,0.01089
TOTALAREA_MODE,0.00955
LIVINGAREA_MEDI,0.00855
LIVINGAREA_MODE,0.00855
LIVINGAREA_AVG,0.00843
YEARS_BEGINEXPLUATATION_MODE,0.00792
YEARS_BEGINEXPLUATATION_MEDI,0.00781
CNT_CHILDREN,0.00777
YEARS_BEGINEXPLUATATION_AVG,0.00775
APARTMENTS_AVG,0.00728
APARTMENTS_MEDI,0.00723
APARTMENTS_MODE,0.00719
NAME_TYPE_SUITE,0.00716
LANDAREA_MEDI,0.0068
LANDAREA_AVG,0.00679
LANDAREA_MODE,0.00675
AMT_REQ_CREDIT_BUREAU_QRT,0.00651
NAME_HOUSING_TYPE,0.00647
BASEMENTAREA_AVG,0.00629
BASEMENTAREA_MEDI,0.00621
NAME_INCOME_TYPE,0.00617
BASEMENTAREA_MODE,0.00609
NAME_EDUCATION_TYPE,0.00607
AMT_REQ_CREDIT_BUREAU_MON,0.00577
DEF_30_CNT_SOCIAL_CIRCLE,0.00567
FLAG_OWN_REALTY,0.00533
CODE_GENDER,0.00523
NONLIVINGAREA_AVG,0.00515
NONLIVINGAREA_MEDI,0.00509
COMMONAREA_AVG,0.00504
COMMONAREA_MODE,0.00503
COMMONAREA_MEDI,0.00499
YEARS_BUILD_MODE,0.00488
FLAG_PHONE,0.00486
YEARS_BUILD_MEDI,0.00484
YEARS_BUILD_AVG,0.00482
NONLIVINGAREA_MODE,0.0048
DEF_60_CNT_SOCIAL_CIRCLE,0.0048
REGION_RATING_CLIENT_W_CITY,0.00478
ENTRANCES_AVG,0.00474
FLAG_WORK_PHONE,0.00466
REGION_RATING_CLIENT,0.00466
LIVINGAPARTMENTS_AVG,0.00454
LIVINGAPARTMENTS_MODE,0.00449
ENTRANCES_MEDI,0.00443
LIVINGAPARTMENTS_MEDI,0.00439
ENTRANCES_MODE,0.00437
REG_CITY_NOT_WORK_CITY,0.00408
FLAG_OWN_CAR,0.00401
LIVE_CITY_NOT_WORK_CITY,0.00389
FLAG_DOCUMENT_3,0.00385
REG_CITY_NOT_LIVE_CITY,0.00376
WALLSMATERIAL_MODE,0.00366
FLOORSMAX_AVG,0.00362
FLOORSMAX_MEDI,0.00312
FLOORSMAX_MODE,0.00302
FLOORSMIN_AVG,0.00283
FLOORSMIN_MEDI,0.00272
FLOORSMIN_MODE,0.00265
FLAG_EMAIL,0.00248
NONLIVINGAPARTMENTS_AVG,0.00232
FONDKAPREMONT_MODE,0.00228
NONLIVINGAPARTMENTS_MEDI,0.00222
AMT_REQ_CREDIT_BUREAU_WEEK,0.00217
REG_REGION_NOT_WORK_REGION,0.00203
NONLIVINGAPARTMENTS_MODE,0.00202
FLAG_DOCUMENT_8,0.00199
ELEVATORS_AVG,0.00197
HOUSETYPE_MODE,0.00184
LIVE_REGION_NOT_WORK_REGION,0.00183
NAME_CONTRACT_TYPE,0.00182
ELEVATORS_MEDI,0.00176
ELEVATORS_MODE,0.00158
EMERGENCYSTATE_MODE,0.00152
FLAG_DOCUMENT_6,0.00148
FLAG_DOCUMENT_5,0.00126
FLAG_EMP_PHONE,0.00114
REG_REGION_NOT_LIVE_REGION,0.00111
AMT_REQ_CREDIT_BUREAU_DAY,0.00092
AMT_REQ_CREDIT_BUREAU_HOUR,0.00073
FLAG_DOCUMENT_18,0.00062
FLAG_DOCUMENT_16,0.00058
FLAG_DOCUMENT_9,0.00044
FLAG_CONT_MOBILE,0.00031
FLAG_DOCUMENT_11,0.00028
FLAG_DOCUMENT_14,0.00018
FLAG_DOCUMENT_13,0.00017
FLAG_DOCUMENT_20,0.00013
FLAG_DOCUMENT_19,0.00012
FLAG_DOCUMENT_21,0.00011
FLAG_DOCUMENT_15,8e-05
FLAG_DOCUMENT_2,7e-05
FLAG_DOCUMENT_7,4e-05
FLAG_DOCUMENT_17,2e-05
FLAG_MOBIL,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_12,0.0
